Packet received; type=DATA; seqNum=21; length=1472; checksum_in_packet=22bdfc2b;
checksum_calculated=22bdfc2b; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=22; length=1472; checksum_in_packet=651d86fb;
checksum_calculated=651d86fb; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=23; length=1472; checksum_in_packet=587daf4b;
checksum_calculated=587daf4b; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=24; length=1472; checksum_in_packet=da2d389a;
checksum_calculated=da2d389a; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=25; length=1472; checksum_in_packet=e74d112a;
checksum_calculated=e74d112a; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=26; length=1472; checksum_in_packet=a0ed6bfa;
checksum_calculated=a0ed6bfa; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=27; length=1472; checksum_in_packet=9d8d424a;
checksum_calculated=9d8d424a; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=28; length=1472; checksum_in_packet=2fad9e5a;
checksum_calculated=2fad9e5a; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=29; length=1472; checksum_in_packet=12cdb7ea;
checksum_calculated=12cdb7ea; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=30; length=1472; checksum_in_packet=556dcd3a;
checksum_calculated=556dcd3a; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=31; length=1472; checksum_in_packet=680de48a;
checksum_calculated=680de48a; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=32; length=1472; checksum_in_packet=4b7ccbdd;
checksum_calculated=4b7ccbdd; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=33; length=1472; checksum_in_packet=761ce26d;
checksum_calculated=761ce26d; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=34; length=1472; checksum_in_packet=31bc98bd;
checksum_calculated=31bc98bd; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=35; length=1472; checksum_in_packet=0cdcb10d;
checksum_calculated=0cdcb10d; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=36; length=1472; checksum_in_packet=befc6d1d;
checksum_calculated=befc6d1d; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=37; length=1472; checksum_in_packet=839c44ad;
checksum_calculated=839c44ad; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=38; length=1472; checksum_in_packet=c43c3e7d;
checksum_calculated=c43c3e7d; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=39; length=1472; checksum_in_packet=f95c17cd;
checksum_calculated=f95c17cd; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=40; length=1472; checksum_in_packet=7b0c801c;
checksum_calculated=7b0c801c; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=41; length=1472; checksum_in_packet=466ca9ac;
checksum_calculated=466ca9ac; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=42; length=1472; checksum_in_packet=01ccd37c;
checksum_calculated=01ccd37c; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=43; length=1472; checksum_in_packet=3cacfacc;
checksum_calculated=3cacfacc; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=44; length=1472; checksum_in_packet=8e8c26dc;
checksum_calculated=8e8c26dc; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=45; length=1472; checksum_in_packet=b3ec0f6c;
checksum_calculated=b3ec0f6c; status=NOT_CORRUPT

